,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/GNasacf2Tgdni2Oar2-K0g/l.jpg,Sonic Drive-In,"185 Mcmahan Blvd Marion, OH 43302",(740) 389-6980,12 reviews,"Fast Food, Ice Cream & Frozen Yogurt, Burgers",Mon 8:00 AM - 11:00 PM Tue 8:00 AM - 11:00 PM Wed 8:00 AM - 11:00 PM Thu 8:00 AM - 11:00 PM Fri 8:00 AM - 11:00 PM Sat 8:00 AM - 11:00 PM Open now Sun 8:00 AM - 11:00 PM,2 star rating,http://www.sonicdrivein.com,Claimed,https://www.yelp.com/adredir?ad_business_id=CtV7q-W5r4AkmusDGSn-tw&campaign_id=85Y1qVE9aCx7yb3jtbVt2g&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsonic-drive-in-marion-10&request_id=fdc6f61bf77efc1f&signature=d01df3d74bb7ef3471df21ffefcecd6fc7d40b9dc662b78327155789758bb1d1&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/GhktpWatU5vyHyGebshUBA/l.jpg,Donatos Pizza,"122 S Sandusky St Delaware, OH 43015",(740) 362-0682,41 reviews,"Pizza, Salad, Sandwiches",Mon 11:00 AM - 12:00 AM (Next day) Tue 11:00 AM - 12:00 AM (Next day) Wed 11:00 AM - 12:00 AM (Next day) Thu 11:00 AM - 12:00 AM (Next day) Fri 11:00 AM - 1:30 AM (Next day) Sat 11:00 AM - 1:30 AM (Next day) Open now Sun 11:00 AM - 12:00 AM (Next day),2 star rating,http://www.donatos.com,Claimed,https://www.yelp.com/adredir?ad_business_id=dMw7U3i3h0Gsu0GIFi_aKg&campaign_id=9LCo-pBB8x7eL_PPyccE-w&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdonatos-pizza-delaware-10&request_id=fdc6f61bf77efc1f&signature=96e650bcc5fee33b8467f224004189e33f9d91858c201cb6e8d087619fd37bfe&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/I54TGS6uDaH8BGjQRH2O8Q/l.jpg,1834 Mid-Way Tavern,"29 N Clayton St Centerburg, OH 43011",(740) 480-8268,16 reviews,"Bars, American (Traditional)",Mon 3:00 PM - 10:00 PM Tue 3:00 PM - 10:00 PM Wed 3:00 PM - 10:00 PM Thu 3:00 PM - 10:00 PM Fri 3:00 PM - 1:00 AM (Next day) Sat 1:00 PM - 1:00 AM (Next day) Open now Sun 12:30 PM - 9:00 PM,4 star rating,http://www.donatos.com,Claimed,https://www.yelp.com/biz/1834-mid-way-tavern-centerburg?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/zCvSAz6SXQ8El083AH03hQ/l.jpg,Build a Brew BBQ,"3005 Wilson Rd Centerburg, OH 43011",(740) 955-1944,8 reviews,Barbeque,,4.5 star rating,http://www.donatos.com,Claimed,https://www.yelp.com/biz/build-a-brew-bbq-centerburg?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/_AOBpYbM3MLeKmY0TSb3gQ/l.jpg,Intown Restaurant,"12 E Main Centerburg, OH 43011",(740) 480-8143,4 reviews,American (New),Mon Closed Tue 6:30 AM - 2:00 PM Wed 6:30 AM - 2:00 PM Thu 6:30 AM - 2:00 PM Fri 6:30 AM - 2:00 PM Sat 6:30 AM - 2:00 PM Closed now Sun 6:30 AM - 2:00 PM,4 star rating,http://www.intowncenterburg.co…,Unclaimed,https://www.yelp.com/biz/intown-restaurant-centerburg?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/ZS4viN0EllcCa869_WxIqA/l.jpg,Eggmann's Eatery,"3032 Columbus Rd Centerburg, OH 43011",(740) 480-1235,20 reviews,Breakfast & Brunch,Mon Closed Tue Closed Wed 7:30 AM - 2:00 PM Thu 7:30 AM - 2:00 PM Fri 7:30 AM - 2:00 PM Sat 7:30 AM - 2:00 PM Closed now Sun 7:30 AM - 2:00 PM,5 star rating,http://www.eggmannseatery.com,Claimed,https://www.yelp.com/biz/eggmanns-eatery-centerburg?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/ksNyz2pIoDACUO2lcN8Evg/l.jpg,Pizza Burg,"108 N Hartford Ave Centerburg, OH 43011",(740) 625-5800,8 reviews,Pizza,,4 star rating,http://www.eggmannseatery.com,Unclaimed,https://www.yelp.com/biz/pizza-burg-centerburg?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/lTYj6TWJk6De43taHX4P5g/l.jpg,Intown Restaurant,"12 E Main St Centerburg, OH 43011",(740) 480-8143,"Coffee & Tea,","Coffee & Tea, Breakfast & Brunch, Sandwiches",Mon Closed Tue 6:30 AM - 2:00 PM Wed 6:30 AM - 2:00 PM Thu 6:30 AM - 8:00 PM Fri 6:30 AM - 8:00 PM Sat 6:30 AM - 8:00 PM Open now Sun 6:30 AM - 2:00 PM,Rating,https://intowncenterburg.com,Claimed,https://www.yelp.com/biz/intown-restaurant-centerburg-2?osq=restaurants
8,https://s3-media0.fl.yelpcdn.com/bphoto/hoEJOYc7YFaeWlTocWmQZw/l.jpg,Twist 'N Shake,"3940 Columbus Rd Centerburg, OH 43011",(740) 625-5555,8 reviews,"Ice Cream & Frozen Yogurt, Fast Food",,5 star rating,https://www.twistnshakeorder.c…,Unclaimed,https://www.yelp.com/biz/twist-n-shake-centerburg?osq=restaurants
9,https://s3-media0.fl.yelpcdn.com/bphoto/Imlq4JevkOX4jrrnBjJUGQ/l.jpg,Long Branch Pizza,"7 W Main St Centerburg, OH 43011",(740) 625-7757,21 reviews,"Pizza, Sandwiches, Chicken Wings",Mon 11:00 AM - 8:00 PM Tue 11:00 AM - 8:00 PM Wed 11:00 AM - 8:00 PM Thu 11:00 AM - 9:00 PM Fri 11:00 AM - 9:00 PM Sat 11:00 AM - 9:00 PM Open now Sun 4:00 PM - 8:00 PM,4 star rating,https://www.twistnshakeorder.c…,Claimed,https://www.yelp.com/biz/long-branch-pizza-centerburg?osq=restaurants
10,https://s3-media0.fl.yelpcdn.com/bphoto/PFAQ1mDWxJ4V3OSrcr7NeA/l.jpg,Highland Pizza & Ice Cream,"6530 State Route 229 Marengo, OH 43334",(419) 768-3883,6 reviews,"Ice Cream & Frozen Yogurt, Pizza",Mon 11:00 AM - 10:00 PM Tue 11:00 AM - 10:00 PM Wed 11:00 AM - 10:00 PM Thu 11:00 AM - 10:00 PM Fri 11:00 AM - 12:00 PM Sat 11:00 AM - 12:00 PM Closed now Sun 12:00 AM - 10:00 PM,3.5 star rating,https://highlandpizzaandicecre…,Unclaimed,https://www.yelp.com/biz/highland-pizza-and-ice-cream-marengo?osq=restaurants
11,https://s3-media0.fl.yelpcdn.com/bphoto/ppcV5j-7VByr0wGeCdBwRQ/l.jpg,Trucking Delicious,"6530 State Route 229 Marengo, OH 43334",(740) 480-1484,2 reviews,"Food Trucks, American (New)",Mon Closed Tue 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Wed 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Thu 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Fri 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Sat 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Open now Sun 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM,4 star rating,http://www.truckingdelicious.n…,Unclaimed,https://www.yelp.com/biz/trucking-delicious-centerburg?osq=restaurants
12,https://s3-media0.fl.yelpcdn.com/bphoto/0wijRqm9VWOmqmJtIsXzOg/l.jpg,Taco Bell,"636 State Route 61 Marengo, OH 43334",(419) 253-0046,10 reviews,"Mexican, Fast Food",Mon 10:00 AM - 10:00 PM Tue 10:00 AM - 10:00 PM Wed 10:00 AM - 10:00 PM Thu 10:00 AM - 10:00 PM Fri 10:00 AM - 10:00 PM Sat 10:00 AM - 10:00 PM Open now Sun 10:00 AM - 10:00 PM,2 star rating,http://www.tacobell.com,Claimed,https://www.yelp.com/adredir?ad_business_id=4OqoYBXf5JUrea27OD9K4g&campaign_id=vCkKJqwgpZjpxY_5N00DTg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftaco-bell-marengo-3&request_id=fdc6f61bf77efc1f&signature=8ef3502e3a903c717c937c4b44ee95d9d8c63b240c0f65c8fdf5673aa391793a&slot=0
13,https://s3-media0.fl.yelpcdn.com/bphoto/E10N29d1EBSN8_2hg3QTmw/l.jpg,Chipotle Mexican Grill,"7162 Longhorn Dr Ste A Sunbury, OH 43074",(740) 524-9042,31 reviews,"Mexican, Fast Food",Mon 10:45 AM - 10:00 PM Tue 10:45 AM - 10:00 PM Wed 10:45 AM - 10:00 PM Thu 10:45 AM - 10:00 PM Fri 10:45 AM - 10:00 PM Sat 10:45 AM - 10:00 PM Open now Sun 10:45 AM - 10:00 PM,2 star rating,http://www.chipotle.com,Claimed,https://www.yelp.com/adredir?ad_business_id=w4IVHYlojH1-o_YzeTH-fg&campaign_id=4MiYGHdNxq3JmnGyA3I8tg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fchipotle-mexican-grill-sunbury&request_id=5c17b44d0d93a51c&signature=29ef69c067191679c2974c59f006b12b66e0e1fa214fef8a775742b25438ed8d&slot=0
14,https://s3-media0.fl.yelpcdn.com/bphoto/0wijRqm9VWOmqmJtIsXzOg/l.jpg,Taco Bell,"636 State Route 61 Marengo, OH 43334",(419) 253-0046,10 reviews,"Mexican, Fast Food",Mon 10:00 AM - 10:00 PM Tue 10:00 AM - 10:00 PM Wed 10:00 AM - 10:00 PM Thu 10:00 AM - 10:00 PM Fri 10:00 AM - 10:00 PM Sat 10:00 AM - 10:00 PM Open now Sun 10:00 AM - 10:00 PM,2 star rating,http://www.tacobell.com,Claimed,https://www.yelp.com/adredir?ad_business_id=4OqoYBXf5JUrea27OD9K4g&campaign_id=AuPS50cttXVxTdAWfNCrMQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftaco-bell-marengo-3&request_id=5c17b44d0d93a51c&signature=f0359a8fff2435b5ee91cbe49a899f591bfff6321c923ca5ac45cafc5e136e61&slot=1
15,https://s3-media0.fl.yelpcdn.com/bphoto/ppcV5j-7VByr0wGeCdBwRQ/l.jpg,Trucking Delicious,"636 State Route 61 Marengo, OH 43334",(740) 480-1484,2 reviews,"Food Trucks, American (New)",Mon Closed Tue 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Wed 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Thu 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Fri 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Sat 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM Open now Sun 6:00 AM - 9:00 AM 11:00 AM - 8:00 PM,4 star rating,http://www.truckingdelicious.n…,Unclaimed,https://www.yelp.com/biz/trucking-delicious-centerburg?osq=restaurants
16,https://s3-media0.fl.yelpcdn.com/bphoto/cx8uyYH3irzu3wzYQYL8Cg/l.jpg,Subway,"23 E Main St Centerburg, OH 43011",(740) 625-9377,Sandwiches,Sandwiches,Mon 9:00 AM - 10:00 PM Tue 9:00 AM - 10:00 PM Wed 9:00 AM - 10:00 PM Thu 9:00 AM - 10:00 PM Fri 9:00 AM - 10:00 PM Sat 9:00 AM - 10:00 PM Open now Sun 9:00 AM - 10:00 PM,4 star rating,http://www.subway.com,Claimed,https://www.yelp.com/biz/subway-centerburg-2?osq=restaurants
17,https://s3-media0.fl.yelpcdn.com/bphoto/Cni3B20z1PGQKtNP9dJvUg/l.jpg,Ohio’s Best Lemonade,"OH, OH",(330) 329-8222,Food Stands,Food Stands,,4 star rating,http://www.subway.com,Unclaimed,https://www.yelp.com/biz/ohio-s-best-lemonade-no-title?osq=restaurants
